relationship_id,person_a_id,person_a_name,person_b_id,person_b_name,phone_call_count,phone_call_dates,phone_call_durations_sec,total_call_duration_sec,transaction_count,transaction_dates,transaction_amounts,total_transaction_amount,meeting_count,meeting_dates,meeting_locations,relationship_label,ground_truth_confidence,relationship_type,relationship_description
REL00011,P0307,Aditya Gupta 57368,P0164,Vikram Bansal,9,2025-03-08; 2025-11-25; 2025-04-29; 2024-12-22; 2026-02-14; 2025-02-04; 2025-02-04; 2024-03-14; 2025-06-24,764; 309; 309; 733; 219; 737; 896; 581; 423,4971,1,2024-04-09,4789,4789.0,2,2024-11-27; 2026-02-09,Agra; Delhi,1,0.7049,Associate,Relationship evidence between Aditya Gupta 57368 and Vikram Bansal. Phone records show 9 calls. Transaction records show 1 transactions. Meeting records show 2 meetings.
REL00012,P0312,Anjali Khan,P0469,Vivaan Khan 48030,1,2025-03-28,732,732,2,2025-05-09; 2024-10-25,5245; 7373,12618.0,0,,,0,0.0842,Acquaintance,"Observed interaction between Anjali Khan and Vivaan Khan 48030. Available records include 1 calls, 2 transactions, and 0 meetings. Evidence does not establish a meaningful relationship."
REL00013,P0201,Rahul Verma,P0010,Karan Patel,28,2026-08-31; 2025-03-13; 2025-11-26; 2026-05-11; 2024-06-21; 2026-08-06; 2024-02-27; 2024-04-08; 2024-12-30; 2025-04-30; 2024-07-02; 2026-08-25; 2024-02-23; 2024-04-30; 2025-06-11; 2025-10-27; 2024-12-12; 2025-08-30; 2025-03-20; 2024-06-01; 2025-10-04; 2026-01-09; 2025-02-17; 2024-09-07; 2024-02-04; 2024-05-01; 2024-09-03; 2025-02-10,1060; 679; 1468; 1280; 413; 1396; 1586; 828; 1648; 1476; 1688; 1433; 1408; 243; 1652; 1009; 1735; 1391; 842; 623; 1355; 1397; 971; 812; 83; 305; 298; 229,29308,2,2024-05-04; 2025-05-15,68813; 31482,100295.0,6,2024-01-24; 2025-08-23; 2025-08-09; 2025-08-09; 2025-05-06; 2024-10-07,Noida; Agra; Gurugram; Jaipur; Chandigarh; Jaipur,0,0.3044,Colleague,"Observed interaction between Rahul Verma and Karan Patel. Available records include 28 calls, 2 transactions, and 6 meetings. Evidence does not establish a meaningful relationship."
REL00014,P0129,Karan Patel 93970,P0102,Divya Bansal 42364,2,2025-02-19; 2026-04-12,737; 40,777,2,2025-02-07; 2025-07-23,18077; 17869,35946.0,1,2025-05-15,Noida,1,0.6057,Business Contact,Relationship evidence between Karan Patel 93970 and Divya Bansal 42364. Phone records show 2 calls. Transaction records show 2 transactions. Meeting records show 1 meetings.
REL00015,P0599,Neha Singh 485,P0552,Neha Kumar 22714,6,2026-02-10; 2026-02-10; 2024-07-31; 2025-11-05; 2026-07-08; 2024-04-30,205; 633; 731; 204; 25; 588,2386,2,2025-04-02; 2026-03-30,10798; 4531,15329.0,0,,,0,0.0233,Acquaintance,"Observed interaction between Neha Singh 485 and Neha Kumar 22714. Available records include 6 calls, 2 transactions, and 0 meetings. Evidence does not establish a meaningful relationship."
REL00016,P0589,Vikram Sharma 51362,P0212,Nikhil Gupta 17974,3,2026-05-21; 2026-02-10; 2024-02-05,106; 147; 538,791,0,,,0.0,2,2024-11-01; 2025-01-07,Lucknow; Gurugram,1,0.5769,Acquaintance,Relationship evidence between Vikram Sharma 51362 and Nikhil Gupta 17974. Phone records show 3 calls. Transaction records show 0 transactions. Meeting records show 2 meetings.
REL00017,P0001,Divya Verma,P0255,Abhishek Malhotra,0,,,0,2,2025-11-05; 2025-06-30,15079; 5082,20161.0,1,2025-08-13,Chandigarh,0,0.2463,Business Contact,"Observed interaction between Divya Verma and Abhishek Malhotra. Available records include 0 calls, 2 transactions, and 1 meetings. Evidence does not establish a meaningful relationship."
REL00018,P0536,Abhishek Verma 42407,P0361,Ravi Chauhan,22,2026-04-19; 2024-02-15; 2024-08-30; 2024-02-07; 2024-07-11; 2024-05-25; 2024-11-02; 2026-05-26; 2026-05-02; 2024-08-08; 2024-05-17; 2025-09-08; 2025-07-19; 2024-08-09; 2025-08-28; 2025-01-02; 2024-10-11; 2024-05-11; 2026-01-16; 2025-09-29; 2025-03-08; 2024-03-17,1186; 582; 593; 841; 1390; 394; 879; 994; 230; 580; 1445; 931; 1482; 353; 1157; 477; 204; 1349; 1560; 611; 1356; 1487,20081,4,2025-10-23; 2024-07-16; 2026-01-01; 2025-01-16,69033; 23501; 57009; 22118,171661.0,6,2024-11-19; 2026-03-17; 2025-03-20; 2025-01-23; 2024-01-27; 2025-09-10,Ghaziabad; Noida; Faridabad; Noida; Lucknow; Noida,0,0.4394,Acquaintance,"Observed interaction between Abhishek Verma 42407 and Ravi Chauhan. Available records include 22 calls, 4 transactions, and 6 meetings. Evidence does not establish a meaningful relationship."
REL00019,P0417,Rohan Pandey,P0068,Ravi Bansal,17,2026-03-07; 2024-10-06; 2024-05-29; 2026-06-08; 2026-03-28; 2024-08-19; 2024-10-07; 2024-01-11; 2024-04-10; 2025-01-21; 2024-08-15; 2025-01-22; 2024-04-17; 2026-03-12; 2026-08-05; 2024-05-06; 2024-06-28,2276; 3103; 1375; 2531; 3484; 3424; 2125; 511; 2286; 1549; 2989; 2463; 1275; 2379; 1230; 2608; 525,36133,8,2026-07-07; 2024-02-19; 2024-06-23; 2024-11-21; 2026-08-27; 2026-02-08; 2025-02-02; 2024-07-04,100485; 221310; 204326; 187684; 216765; 149377; 154617; 165875,1400439.0,4,2026-06-22; 2026-05-20; 2025-02-16; 2025-05-03,Agra; Gurugram; Faridabad; Delhi,1,0.9079,Business Contact,Relationship evidence between Rohan Pandey and Ravi Bansal. Phone records show 17 calls. Transaction records show 8 transactions. Meeting records show 4 meetings.
REL00020,P0160,Nikhil Patel,P0130,Rohan Khanna 72261,36,2026-07-29; 2026-01-12; 2025-10-16; 2025-01-14; 2025-12-25; 2026-03-07; 2024-09-12; 2025-11-25; 2025-09-15; 2025-03-04; 2025-12-24; 2025-04-13; 2024-07-06; 2025-03-25; 2024-12-28; 2026-03-28; 2025-04-24; 2025-05-29; 2024-10-20; 2024-10-09; 2025-03-14; 2025-06-17; 2026-08-22; 2026-01-05; 2026-06-21; 2026-08-03; 2026-04-13; 2024-08-22; 2024-11-08; 2025-10-12; 2026-05-28; 2024-03-30; 2026-08-28; 2024-11-08; 2025-02-20; 2026-02-28,1400; 3582; 489; 2719; 445; 434; 3109; 1103; 503; 796; 2476; 355; 466; 3165; 1290; 2389; 2138; 3430; 163; 1856; 2893; 2203; 3113; 678; 2084; 2159; 2229; 2926; 2892; 2300; 2978; 630; 1780; 176; 2644; 898,64891,7,2026-07-21; 2026-05-01; 2026-02-02; 2024-01-08; 2026-01-01; 2025-03-11; 2025-12-20,150070; 206520; 100455; 74022; 203719; 183322; 225839,1143947.0,2,2026-06-20; 2026-08-25,Lucknow; Agra,1,0.7597,Colleague,Relationship evidence between Nikhil Patel and Rohan Khanna 72261. Phone records show 36 calls. Transaction records show 7 transactions. Meeting records show 2 meetings.
REL00021,P0460,Anjali Bansal 42726,P0173,Vivaan Malhotra,20,2024-03-17; 2025-01-10; 2026-05-09; 2024-05-16; 2025-06-10; 2024-12-27; 2024-02-22; 2025-03-08; 2025-05-22; 2025-01-23; 2024-06-23; 2025-01-17; 2024-04-25; 2024-12-12; 2026-07-24; 2025-11-26; 2024-09-12; 2026-05-01; 2025-07-06; 2026-05-21,1629; 301; 654; 672; 1049; 661; 602; 496; 64; 1571; 1352; 1224; 866; 505; 684; 1376; 1115; 1751; 132; 1008,17712,1,2026-07-02,65998,65998.0,2,2024-02-28; 2024-12-30,Delhi; Agra,1,0.7019,Acquaintance,Relationship evidence between Anjali Bansal 42726 and Vivaan Malhotra. Phone records show 20 calls. Transaction records show 1 transactions. Meeting records show 2 meetings.
REL00022,P0306,Raj Chauhan,P0363,Neha Singh 41516,5,2024-12-29; 2024-01-10; 2024-04-13; 2025-03-17; 2025-05-18,464; 233; 1143; 1113; 374,3327,6,2025-02-24; 2024-05-06; 2026-07-24; 2025-05-14; 2024-01-08; 2024-06-08,34785; 31634; 63695; 53820; 51061; 41227,276222.0,6,2025-01-08; 2025-03-14; 2026-07-02; 2024-07-05; 2025-07-03; 2026-04-11,Faridabad; Noida; Chandigarh; Chandigarh; Gurugram; Gurugram,0,0.3238,Colleague,"Observed interaction between Raj Chauhan and Neha Singh 41516. Available records include 5 calls, 6 transactions, and 6 meetings. Evidence does not establish a meaningful relationship."
REL00023,P0445,Divya Verma 57879,P0006,Shreya Singh,10,2024-10-18; 2024-02-11; 2024-05-16; 2025-02-08; 2025-03-07; 2026-01-31; 2024-12-05; 2026-07-11; 2024-02-02; 2024-06-13,1424; 467; 1041; 1422; 604; 303; 922; 1061; 1186; 1074,9504,0,,,0.0,2,2026-03-30; 2025-11-29,Gurugram; Meerut,1,0.7979,Business Contact,Relationship evidence between Divya Verma 57879 and Shreya Singh. Phone records show 10 calls. Transaction records show 0 transactions. Meeting records show 2 meetings.
REL00024,P0410,Anjali Pandey 88893,P0514,Sneha Bansal 30951,36,2024-04-20; 2026-03-22; 2024-01-22; 2024-05-09; 2024-06-08; 2024-12-18; 2025-05-27; 2024-01-14; 2026-02-24; 2025-12-01; 2024-08-30; 2024-02-23; 2025-11-25; 2026-04-29; 2024-12-16; 2025-03-15; 2025-09-03; 2026-01-25; 2024-01-09; 2025-03-20; 2025-05-06; 2024-10-23; 2024-10-15; 2025-05-12; 2024-03-25; 2026-02-18; 2025-03-15; 2024-09-10; 2025-09-24; 2024-06-05; 2026-01-16; 2025-06-07; 2024-07-10; 2024-09-12; 2024-10-14; 2026-02-24,591; 1199; 2991; 1133; 2849; 3481; 1877; 932; 2061; 3013; 3326; 3437; 542; 2991; 3111; 2177; 2623; 862; 892; 2541; 2696; 2718; 729; 1059; 613; 661; 1763; 277; 1241; 907; 718; 1866; 192; 2645; 937; 492,62143,5,2026-06-04; 2024-02-22; 2025-01-24; 2025-02-21; 2025-06-21,90332; 193542; 176018; 70667; 68137,598696.0,2,2024-12-10; 2025-03-12,Chandigarh; Delhi,1,0.8673,Acquaintance,Relationship evidence between Anjali Pandey 88893 and Sneha Bansal 30951. Phone records show 36 calls. Transaction records show 5 transactions. Meeting records show 2 meetings.
REL00025,P0053,Rahul Gupta 1855,P0312,Anjali Khan,12,2026-08-23; 2024-12-25; 2025-12-29; 2025-03-04; 2024-09-09; 2024-11-23; 2026-07-05; 2024-02-18; 2024-07-05; 2024-02-11; 2024-01-01; 2024-02-23,1412; 1585; 718; 494; 644; 1026; 633; 1302; 266; 942; 438; 576,10036,2,2026-08-29; 2025-05-18,49655; 45815,95470.0,3,2024-11-07; 2024-04-24; 2024-04-09,Delhi; Lucknow; Gurugram,1,0.6593,Associate,Relationship evidence between Rahul Gupta 1855 and Anjali Khan. Phone records show 12 calls. Transaction records show 2 transactions. Meeting records show 3 meetings.
REL00026,P0371,Sneha Patel,P0542,Pooja Verma 66933,15,2024-08-03; 2025-08-21; 2025-01-28; 2024-03-30; 2026-06-27; 2024-04-18; 2024-05-13; 2025-10-06; 2026-01-30; 2025-09-08; 2024-05-03; 2024-02-12; 2025-08-23; 2026-07-23; 2026-06-24,1400; 1734; 450; 455; 1503; 972; 262; 213; 1179; 1327; 762; 677; 1545; 1031; 1618,15128,1,2024-07-25,71934,71934.0,3,2026-01-08; 2024-06-06; 2024-02-14,Gurugram; Ghaziabad; Jaipur,1,0.7317,Former Partner,Relationship evidence between Sneha Patel and Pooja Verma 66933. Phone records show 15 calls. Transaction records show 1 transactions. Meeting records show 3 meetings.
REL00027,P0259,Abhishek Malhotra 53369,P0574,Vikram Patel 77188,16,2024-03-10; 2025-05-09; 2025-03-05; 2025-06-20; 2026-08-11; 2025-05-30; 2026-03-20; 2024-01-23; 2024-06-19; 2025-09-05; 2024-10-07; 2025-12-14; 2024-05-12; 2024-10-23; 2024-02-16; 2025-08-02,184; 1686; 1480; 449; 1576; 1728; 874; 1073; 1462; 1150; 1111; 213; 398; 956; 1597; 1103,17040,8,2025-01-28; 2025-07-29; 2026-03-09; 2025-02-03; 2025-02-14; 2025-09-13; 2024-10-05; 2024-07-30,26125; 2471; 22971; 30548; 3161; 69213; 61695; 68036,284220.0,6,2025-12-25; 2026-01-07; 2025-06-21; 2024-09-22; 2024-11-06; 2026-05-22,Ghaziabad; Faridabad; Faridabad; Lucknow; Noida; Gurugram,0,0.2784,Colleague,"Observed interaction between Abhishek Malhotra 53369 and Vikram Patel 77188. Available records include 16 calls, 8 transactions, and 6 meetings. Evidence does not establish a meaningful relationship."
REL00028,P0547,Deepak Sharma 15265,P0244,Rahul Chauhan,0,,,0,2,2026-08-22; 2026-06-23,9601; 4857,14458.0,0,,,0,0.1019,Business Contact,"Observed interaction between Deepak Sharma 15265 and Rahul Chauhan. Available records include 0 calls, 2 transactions, and 0 meetings. Evidence does not establish a meaningful relationship."
REL00029,P0053,Rahul Gupta 1855,P0255,Abhishek Malhotra,19,2024-12-21; 2025-10-09; 2025-09-11; 2025-01-12; 2024-11-28; 2024-03-26; 2026-08-27; 2025-12-23; 2026-06-24; 2025-07-16; 2024-09-27; 2026-01-09; 2024-05-16; 2025-02-22; 2026-07-08; 2025-09-18; 2024-10-28; 2024-11-28; 2024-02-28,2683; 3462; 162; 3494; 1576; 1018; 3112; 1265; 843; 1168; 184; 2321; 2812; 3307; 3316; 2509; 555; 3079; 3174,40040,3,2025-12-05; 2025-01-26; 2026-08-26,181396; 77461; 238072,496929.0,7,2025-10-03; 2025-10-11; 2025-09-10; 2025-07-18; 2024-07-30; 2026-04-16; 2025-03-28,Ghaziabad; Meerut; Faridabad; Ghaziabad; Agra; Jaipur; Gurugram,1,0.8526,Colleague,Relationship evidence between Rahul Gupta 1855 and Abhishek Malhotra. Phone records show 19 calls. Transaction records show 3 transactions. Meeting records show 7 meetings.
REL00030,P0445,Divya Verma 57879,P0378,Sneha Pandey,3,2024-07-04; 2025-04-15; 2024-07-08,855; 200; 213,1268,0,,,0.0,1,2025-08-06,Chandigarh,0,0.3307,Colleague,"Observed interaction between Divya Verma 57879 and Sneha Pandey. Available records include 3 calls, 0 transactions, and 1 meetings. Evidence does not establish a meaningful relationship."
REL00031,P0185,Aditya Kumar,P0289,Arjun Verma,31,2026-04-17; 2025-02-07; 2025-12-04; 2025-09-14; 2024-07-11; 2024-03-12; 2024-05-26; 2024-03-14; 2025-03-12; 2024-09-08; 2025-04-10; 2026-07-19; 2025-10-22; 2025-02-16; 2024-04-12; 2026-01-11; 2025-06-23; 2024-05-20; 2026-01-14; 2026-02-07; 2026-04-07; 2024-01-13; 2025-09-09; 2024-04-12; 2025-01-21; 2025-01-28; 2024-01-22; 2024-04-22; 2026-04-26; 2024-01-14; 2026-02-20,3521; 2759; 299; 661; 1137; 3274; 462; 1216; 704; 2689; 2576; 175; 3365; 158; 3362; 555; 2341; 3135; 3471; 1506; 3017; 468; 948; 690; 2087; 3231; 2425; 1939; 3460; 788; 1379,57798,5,2024-12-05; 2025-05-05; 2024-06-07; 2024-09-06; 2024-02-27,152482; 191414; 80112; 174491; 152504,751003.0,3,2024-05-06; 2024-01-22; 2026-04-24,Delhi; Noida; Lucknow,1,0.8182,Associate,Relationship evidence between Aditya Kumar and Arjun Verma. Phone records show 31 calls. Transaction records show 5 transactions. Meeting records show 3 meetings.
REL00032,P0524,Anjali Malhotra,P0426,Anjali Yadav 89072,5,2025-01-29; 2024-05-30; 2024-12-27; 2025-11-02; 2024-10-20,522; 1461; 847; 1466; 1524,5820,4,2026-04-22; 2026-07-12; 2024-04-25; 2025-05-18,24224; 16435; 31428; 15334,87421.0,1,2024-10-15,Meerut,0,0.2267,Colleague,"Observed interaction between Anjali Malhotra and Anjali Yadav 89072. Available records include 5 calls, 4 transactions, and 1 meetings. Evidence does not establish a meaningful relationship."
REL00033,P0342,Manish Gupta,P0122,Aditya Patel 78965,7,2025-03-14; 2025-06-27; 2024-12-08; 2025-09-06; 2024-07-04; 2025-11-26; 2025-03-11,367; 1426; 1467; 677; 1339; 1734; 647,7657,1,2024-12-22,15621,15621.0,5,2024-10-04; 2026-07-27; 2025-05-26; 2025-11-08; 2025-01-12,Faridabad; Noida; Delhi; Gurugram; Gurugram,0,0.3121,Business Contact,"Observed interaction between Manish Gupta and Aditya Patel 78965. Available records include 7 calls, 1 transactions, and 5 meetings. Evidence does not establish a meaningful relationship."
REL00034,P0400,Rahul Verma 17246,P0458,Vivaan Singh,8,2025-08-14; 2025-03-13; 2026-01-14; 2024-10-12; 2024-05-28; 2024-04-02; 2024-11-26; 2024-05-10,206; 805; 414; 381; 346; 526; 454; 512,3644,0,,,0.0,0,,,1,0.658,Acquaintance,Relationship evidence between Rahul Verma 17246 and Vivaan Singh. Phone records show 8 calls. Transaction records show 0 transactions. Meeting records show 0 meetings.
REL00035,P0424,Saurabh Mehta 23092,P0342,Manish Gupta,6,2025-01-27; 2025-03-04; 2025-07-16; 2025-05-24; 2025-07-05; 2025-06-30,524; 565; 569; 861; 255; 413,3187,2,2024-03-26; 2025-08-17,23926; 14322,38248.0,0,,,0,0.1892,Colleague,"Observed interaction between Saurabh Mehta 23092 and Manish Gupta. Available records include 6 calls, 2 transactions, and 0 meetings. Evidence does not establish a meaningful relationship."
REL00036,P0225,Aman Bansal,P0090,Abhishek Mehta,16,2025-07-25; 2025-04-30; 2024-05-16; 2026-08-01; 2024-04-22; 2024-03-02; 2026-07-22; 2024-12-23; 2025-01-04; 2026-05-19; 2026-05-19; 2026-06-06; 2026-03-08; 2026-04-18; 2024-05-22; 2024-10-28,1002; 355; 1770; 1189; 922; 556; 491; 1755; 519; 174; 1589; 342; 300; 1484; 1501; 353,14302,1,2025-01-21,5453,5453.0,2,2025-12-13; 2025-03-10,Meerut; Delhi,0,0.4455,Colleague,"Observed interaction between Aman Bansal and Abhishek Mehta. Available records include 16 calls, 1 transactions, and 2 meetings. Evidence does not establish a meaningful relationship."
REL00037,P0596,Anjali Patel 67257,P0076,Sahil Chauhan,6,2024-01-31; 2024-05-30; 2025-01-09; 2024-05-24; 2024-03-21; 2024-09-07,98; 32; 602; 871; 853; 446,2902,2,2024-06-02; 2026-02-22,6477; 15893,22370.0,0,,,0,0.2628,Known Associate,"Observed interaction between Anjali Patel 67257 and Sahil Chauhan. Available records include 6 calls, 2 transactions, and 0 meetings. Evidence does not establish a meaningful relationship."
REL00038,P0541,Deepak Verma,P0307,Aditya Gupta 57368,3,2025-03-30; 2026-03-11; 2025-10-22,731; 33; 313,1077,2,2024-04-23; 2024-06-08,2466; 21551,24017.0,1,2024-02-02,Agra,0,0.2654,Known Associate,"Observed interaction between Deepak Verma and Aditya Gupta 57368. Available records include 3 calls, 2 transactions, and 1 meetings. Evidence does not establish a meaningful relationship."
REL00039,P0516,Nikhil Patel 47637,P0165,Divya Chauhan 55995,3,2026-08-28; 2026-06-15; 2025-04-10,587; 748; 869,2204,1,2024-09-21,19245,19245.0,2,2025-05-28; 2024-11-09,Ghaziabad; Jaipur,0,0.3267,Associate,"Observed interaction between Nikhil Patel 47637 and Divya Chauhan 55995. Available records include 3 calls, 1 transactions, and 2 meetings. Evidence does not establish a meaningful relationship."
REL00040,P0279,Abhishek Singh,P0095,Sneha Verma,3,2024-08-04; 2025-02-14; 2025-09-25,77; 244; 421,742,0,,,0.0,2,2024-07-07; 2026-04-22,Lucknow; Agra,0,0.2962,Former Partner,"Observed interaction between Abhishek Singh and Sneha Verma. Available records include 3 calls, 0 transactions, and 2 meetings. Evidence does not establish a meaningful relationship."
REL00041,P0480,Aditya Agarwal 58388,P0489,Aman Malhotra 18838,25,2026-04-02; 2025-01-15; 2025-10-24; 2025-03-10; 2024-07-18; 2024-10-03; 2024-04-21; 2024-04-16; 2024-03-20; 2025-01-06; 2025-09-09; 2026-03-08; 2026-05-16; 2024-12-09; 2024-01-29; 2024-09-02; 2024-10-15; 2024-06-15; 2025-07-08; 2024-04-19; 2024-03-07; 2024-08-04; 2025-09-03; 2024-01-12; 2026-02-13,693; 444; 1189; 473; 1367; 126; 552; 611; 234; 1227; 1216; 151; 1214; 1678; 1050; 153; 158; 704; 250; 692; 77; 790; 1599; 638; 875,18161,7,2025-05-27; 2024-07-18; 2024-11-18; 2026-02-08; 2025-02-04; 2026-01-13; 2024-12-30,18976; 14763; 45426; 55383; 68005; 15238; 67821,285612.0,4,2026-04-06; 2026-03-04; 2024-06-02; 2024-01-25,Agra; Jaipur; Chandigarh; Agra,0,0.5041,Business Contact,"Observed interaction between Aditya Agarwal 58388 and Aman Malhotra 18838. Available records include 25 calls, 7 transactions, and 4 meetings. Evidence does not establish a meaningful relationship."
